slug,n,amazon,hulu,crankin,wowow,tsutaya,abema
fancy-2020,1432,1,1,1,1,1,1
sex-and-the-ote,1434,1,1,1,1,1,1
the-journalist-2019,1435,1,1,1,1,1,1
yokubo-no-kaibutsu,1442,1,1,1,1,1,1
shiki-jitsu-2000,1443,1,1,1,1,1,1
fortuna-s-eye-2019,1444,1,1,1,1,1,1
phone-call-to-the-bar-2011,1447,1,1,1,1,1,1
kakegurui-roulette-2021,1462,1,1,1,1,1,1
the-transporter-2003,1464,1,1,1,1,1,1
transporter-3-2008,1466,1,1,1,1,1,1
the-transporter-refueled-2015,1467,1,1,1,1,1,1
parker-2013,1469,1,1,1,1,1,1
homefront-2013,1474,1,1,1,1,1,1
snitch-2013,1475,1,1,1,1,1,1
yowamushi-pedal-2020,1478,1,1,1,1,1,1
into-the-blue-2005,1479,1,1,1,1,1,1
the-equalizer-2014,1480,1,1,1,1,1,1
the-expendables-2-2012,1488,1,1,1,1,1,1
furious-7-2015-2,1489,1,1,1,1,1,1
cellular-2004,1498,1,1,1,1,1,1
crank-2006,1499,1,1,1,1,1,1
death-race-2008,1519,1,1,1,1,1,1
boyka-undisputed-2017,1520,1,1,1,1,1,1
kioku-ya-anata-o-wasure-nai,1521,1,1,1,1,1,1
dance-with-me-2019,1522,1,1,1,1,1,1
redemption-2013,1523,1,1,1,1,1,1
miyamoto-kara-kimi-e,1524,1,1,1,1,1,1
left-behind-2014,1526,1,1,1,1,1,1
nippon-chimbotsu-2,1539,1,1,1,1,1,1
revenge-girl-2017,1544,1,1,1,1,1,1
